usertype,months,total_trips,trip_percentage,row
Subscriber,January  ,97998,3.61%,1
Customer,January  ,1187,0.04%,2
Subscriber,February ,92781,3.42%,3
Customer,February ,732,0.03%,4
Subscriber,March    ,148644,5.47%,5
Customer,March    ,4015,0.15%,6
Subscriber,April    ,216244,7.96%,7
Customer,April    ,13123,0.48%,8
Subscriber,May      ,283865,10.45%,9
Customer,May      ,23704,0.87%,10
Subscriber,June     ,307321,11.32%,11
Customer,June     ,34848,1.28%,12
Subscriber,July     ,378254,13.93%,13
Customer,July     ,75406,2.78%,14
Customer,August   ,70732,2.60%,15
Subscriber,August   ,329128,12.12%,16
Customer ,September,0,0.00%,17
Subscriber,September,0,0.00%,18
Subscriber,October  ,298249,10.98%,19
Customer,October  ,30662,1.13%,20
Subscriber,November ,157123,5.79%,21
Customer,November ,7838,0.29%,22
Subscriber,December ,137426,5.06%,23
Customer,December ,6157,0.23%,24
